run,cenario,carga,metrica,valor,unidade,timestamp,obs
1,BIC_Retangulo_Central,minecraft_trailer.mp4,Tempo,72.365,ms,23:08:20,percent=0.2 | cortes=0
2,BIC_Retangulo_Central,minecraft_trailer.mp4,Tempo,71.683,ms,23:08:22,percent=0.2 | cortes=0
3,BIC_Retangulo_Central,minecraft_trailer.mp4,Tempo,71.692,ms,23:08:24,percent=0.2 | cortes=0
4,BIC_Retangulo_Central,minecraft_trailer.mp4,Tempo,73.677,ms,23:08:26,percent=0.2 | cortes=0
5,BIC_Retangulo_Central,minecraft_trailer.mp4,Tempo,75.02,ms,23:08:29,percent=0.2 | cortes=0
6,BIC_Retangulo_Central,minecraft_trailer.mp4,Tempo,77.115,ms,23:08:31,percent=0.2 | cortes=0
7,BIC_Retangulo_Central,minecraft_trailer.mp4,Tempo,75.39,ms,23:08:33,percent=0.2 | cortes=0
8,BIC_Retangulo_Central,minecraft_trailer.mp4,Tempo,75.194,ms,23:08:36,percent=0.2 | cortes=0
9,BIC_Retangulo_Central,minecraft_trailer.mp4,Tempo,77.302,ms,23:08:38,percent=0.2 | cortes=0
10,BIC_Retangulo_Central,minecraft_trailer.mp4,Tempo,77.787,ms,23:08:40,percent=0.2 | cortes=0
11,BIC_Retangulo_Central,minecraft_trailer.mp4,Tempo,78.695,ms,23:08:43,percent=0.2 | cortes=0
12,BIC_Retangulo_Central,minecraft_trailer.mp4,Tempo,78.74,ms,23:08:45,percent=0.2 | cortes=0
13,BIC_Retangulo_Central,minecraft_trailer.mp4,Tempo,78.217,ms,23:08:48,percent=0.2 | cortes=0
14,BIC_Retangulo_Central,minecraft_trailer.mp4,Tempo,74.077,ms,23:08:50,percent=0.2 | cortes=0
15,BIC_Retangulo_Central,minecraft_trailer.mp4,Tempo,74.424,ms,23:08:52,percent=0.2 | cortes=0
16,BIC_Retangulo_Central,minecraft_trailer.mp4,Tempo,73.851,ms,23:08:54,percent=0.2 | cortes=0
17,BIC_Retangulo_Central,minecraft_trailer.mp4,Tempo,75.751,ms,23:08:57,percent=0.2 | cortes=0
18,BIC_Retangulo_Central,minecraft_trailer.mp4,Tempo,76.582,ms,23:08:59,percent=0.2 | cortes=0
19,BIC_Retangulo_Central,minecraft_trailer.mp4,Tempo,76.966,ms,23:09:01,percent=0.2 | cortes=0
20,BIC_Retangulo_Central,minecraft_trailer.mp4,Tempo,78.006,ms,23:09:04,percent=0.2 | cortes=0
21,BIC_Retangulo_Central,minecraft_trailer.mp4,Tempo,77.603,ms,23:09:06,percent=0.2 | cortes=0
22,BIC_Retangulo_Central,minecraft_trailer.mp4,Tempo,75.825,ms,23:09:08,percent=0.2 | cortes=0
23,BIC_Retangulo_Central,minecraft_trailer.mp4,Tempo,76.168,ms,23:09:11,percent=0.2 | cortes=0
24,BIC_Retangulo_Central,minecraft_trailer.mp4,Tempo,75.863,ms,23:09:13,percent=0.2 | cortes=0
25,BIC_Retangulo_Central,minecraft_trailer.mp4,Tempo,75.891,ms,23:09:15,percent=0.2 | cortes=0
26,BIC_Retangulo_Central,minecraft_trailer.mp4,Tempo,77.704,ms,23:09:18,percent=0.2 | cortes=0
27,BIC_Retangulo_Central,minecraft_trailer.mp4,Tempo,77.274,ms,23:09:20,percent=0.2 | cortes=0
28,BIC_Retangulo_Central,minecraft_trailer.mp4,Tempo,76.518,ms,23:09:22,percent=0.2 | cortes=0
29,BIC_Retangulo_Central,minecraft_trailer.mp4,Tempo,76.255,ms,23:09:25,percent=0.2 | cortes=0
30,BIC_Retangulo_Central,minecraft_trailer.mp4,Tempo,76.766,ms,23:09:27,percent=0.2 | cortes=0
31,BIC_Retangulo_Central,minecraft_trailer.mp4,Tempo,77.566,ms,23:09:29,percent=0.2 | cortes=0
32,BIC_Retangulo_Central,minecraft_trailer.mp4,Tempo,77.548,ms,23:09:32,percent=0.2 | cortes=0
33,BIC_Retangulo_Central,minecraft_trailer.mp4,Tempo,75.827,ms,23:09:34,percent=0.2 | cortes=0
34,BIC_Retangulo_Central,minecraft_trailer.mp4,Tempo,75.155,ms,23:09:36,percent=0.2 | cortes=0
35,BIC_Retangulo_Central,minecraft_trailer.mp4,Tempo,77.135,ms,23:09:39,percent=0.2 | cortes=0
36,BIC_Retangulo_Central,minecraft_trailer.mp4,Tempo,74.987,ms,23:09:41,percent=0.2 | cortes=0
37,BIC_Retangulo_Central,minecraft_trailer.mp4,Tempo,74.383,ms,23:09:43,percent=0.2 | cortes=0
38,BIC_Retangulo_Central,minecraft_trailer.mp4,Tempo,74.331,ms,23:09:45,percent=0.2 | cortes=0
39,BIC_Retangulo_Central,minecraft_trailer.mp4,Tempo,75.481,ms,23:09:48,percent=0.2 | cortes=0
40,BIC_Retangulo_Central,minecraft_trailer.mp4,Tempo,74.369,ms,23:09:50,percent=0.2 | cortes=0
41,BIC_Retangulo_Central,minecraft_trailer.mp4,Tempo,77.212,ms,23:09:52,percent=0.2 | cortes=0
42,BIC_Retangulo_Central,minecraft_trailer.mp4,Tempo,77.743,ms,23:09:55,percent=0.2 | cortes=0
43,BIC_Retangulo_Central,minecraft_trailer.mp4,Tempo,78.447,ms,23:09:57,percent=0.2 | cortes=0
44,BIC_Retangulo_Central,minecraft_trailer.mp4,Tempo,77.699,ms,23:10:00,percent=0.2 | cortes=0
45,BIC_Retangulo_Central,minecraft_trailer.mp4,Tempo,76.269,ms,23:10:02,percent=0.2 | cortes=0
46,BIC_Retangulo_Central,minecraft_trailer.mp4,Tempo,74.666,ms,23:10:04,percent=0.2 | cortes=0
47,BIC_Retangulo_Central,minecraft_trailer.mp4,Tempo,74.551,ms,23:10:06,percent=0.2 | cortes=0
